Artist,Title,Label,Path,choruspath
The Weeknd,Heartless,1,Songs/The Weeknd - Heartless (Official Video).mp3,Songs/RepeatedPopularChorus/The Weeknd - Heartless (Official Video).wav
DaBaby,BOP,1,Songs/DaBaby - BOP on Broadway (Hip Hop Musical).mp3,Songs/RepeatedPopularChorus/DaBaby - BOP on Broadway (Hip Hop Musical).wav
Drake,Toosie Slide,1,Songs/Drake - Toosie Slide (Official Music Video).mp3,Songs/RepeatedPopularChorus/Drake - Toosie Slide (Official Music Video).wav
Morgan Wallen,Chasin' You,1,Songs/Morgan Wallen - Chasin' You (Dream Video).mp3,Songs/RepeatedPopularChorus/Morgan Wallen - Chasin' You (Dream Video).wav
Lil Baby,Woah,1,Songs/KRYPTO9095 FT. D3MSTREET WOAH (OFFICIAL SONG TO WOAH DANCE).mp3,Songs/RepeatedPopularChorus/KRYPTO9095 FT.wav
Travis Scott,HIGHEST IN THE ROOM,1,Songs/Travis Scott - HIGHEST IN THE ROOM (Official Music Video).mp3,Songs/RepeatedPopularChorus/Travis Scott - HIGHEST IN THE ROOM (Official Music Video).wav
Billie Eilish,Bad Guy,1,Songs/Billie Eilish - bad guy.mp3,Songs/RepeatedPopularChorus/Billie Eilish - bad guy.wav
Justin Bieber,Yummy,1,Songs/Justin Bieber - Yummy (Official Video).mp3,Songs/RepeatedPopularChorus/Justin Bieber - Yummy (Official Video).wav
Lil Nas X,Panini,1,Songs/Lil Nas X - Panini (Official Video).mp3,Songs/RepeatedPopularChorus/Lil Nas X - Panini (Official Video).wav
Lil Baby,Emotionally Scarred,1,Songs/Lil Baby - Emotionally Scarred.mp3,Songs/RepeatedPopularChorus/Lil Baby - Emotionally Scarred.wav
Lil Baby,The Bigger Picture,1,Songs/Lil Baby - The Bigger Picture (Official Music Video).mp3,Songs/RepeatedPopularChorus/Lil Baby - The Bigger Picture (Official Music Video).wav
Jonas Brothers,Only Human,1,Songs/Rag'n'Bone Man - Human (Official Video).mp3,Songs/RepeatedPopularChorus/Rag'n'Bone Man - Human (Official Video).wav
Lil Baby,Sum 2 Prove,1,Songs/Lil Baby - Sum 2 Prove (Official Video).mp3,Songs/RepeatedPopularChorus/Lil Baby - Sum 2 Prove (Official Video).wav
Halsey,You Should Be Sad,1,Songs/Halsey - You should be sad.mp3,Songs/RepeatedPopularChorus/Halsey - You should be sad.wav
Pop Smoke,Dior,1,Songs/POP SMOKE - DIOR (OFFICIAL VIDEO).mp3,Songs/RepeatedPopularChorus/POP SMOKE - DIOR (OFFICIAL VIDEO).wav
Luke Combs,Even Though I'm Leaving,1,Songs/Luke Combs - Even Though I'm Leaving (Official Video).mp3,Songs/RepeatedPopularChorus/Luke Combs - Even Though I'm Leaving (Official Video).wav
Juice WRLD,Wishing Well,1,Songs/Juice WRLD - Wishing Well (Official Music Video).mp3,Songs/RepeatedPopularChorus/Juice WRLD - Wishing Well (Official Music Video).wav
Morgan Wallen,More Than My Hometown,1,Songs/Morgan Wallen - More Than My Hometown (Official Music Video).mp3,Songs/RepeatedPopularChorus/Morgan Wallen - More Than My Hometown (Official Music Video).wav
Luke Combs,Lovin' On You,1,Songs/Luke Combs - Lovin' On You (Official Video).mp3,Songs/RepeatedPopularChorus/Luke Combs - Lovin' On You (Official Video).wav
Halsey,Without Me,1,Songs/Halsey - Without Me.mp3,Songs/RepeatedPopularChorus/Halsey - Without Me.wav
Post Malone,Wow.,1,Songs/Post Malone - Wow. (Official Music Video).mp3,Songs/RepeatedPopularChorus/Post Malone - Wow.wav
Ariana Grande,7 Rings,1,Songs/Ariana Grande - 7 rings (Official Video).mp3,Songs/RepeatedPopularChorus/Ariana Grande - 7 rings (Official Video).wav
Travis Scott,Sicko Mode,1,Songs/Travis Scott - SICKO MODE ft. Drake.mp3,Songs/RepeatedPopularChorus/Travis Scott - SICKO MODE ft.wav
Jonas Brothers,Sucker,1,Songs/Jonas Brothers - Sucker (Official Video).mp3,Songs/RepeatedPopularChorus/Jonas Brothers - Sucker (Official Video).wav
Ariana Grande,"Thank U, Next",1,"Songs/Ariana Grande - thank u, next (Official Video).mp3","Songs/RepeatedPopularChorus/Ariana Grande - thank u, next (Official Video).wav"
DaBaby,Suge,1,Songs/Dababy - Suge (Yea Yea) Official Music Video.mp3,Songs/RepeatedPopularChorus/Dababy - Suge (Yea Yea) Official Music Video.wav
Shawn Mendes,If I Can't Have You,1,Songs/Shawn Mendes - If I Can't Have You.mp3,Songs/RepeatedPopularChorus/Shawn Mendes - If I Can't Have You.wav
Post Malone,Better Now,1,Songs/Post Malone - Better Now.mp3,Songs/RepeatedPopularChorus/Post Malone - Better Now.wav
Ariana Grande,"Break Up With Your Girlfriend, I'm Bored",1,"Songs/Ariana Grande - break up with your girlfriend, i'm bored (Official Video).mp3","Songs/RepeatedPopularChorus/Ariana Grande - break up with your girlfriend, i'm bored (Official Video).wav"
Cardi B,Money,1,Songs/LISA - MONEY (Lyrics).mp3,Songs/RepeatedPopularChorus/LISA - MONEY (Lyrics).wav
Taylor Swift,You Need To Calm Down,1,Songs/Taylor Swift - You Need To Calm Down.mp3,Songs/RepeatedPopularChorus/Taylor Swift - You Need To Calm Down.wav
Luke Combs,Beautiful Crazy,1,Songs/Luke Combs - Beautiful Crazy.mp3,Songs/RepeatedPopularChorus/Luke Combs - Beautiful Crazy.wav
Juice WRLD,Lucid Dreams,1,Songs/Juice WRLD - Lucid Dreams (Directed by Cole Bennett).mp3,Songs/RepeatedPopularChorus/Juice WRLD - Lucid Dreams (Directed by Cole Bennett).wav
Morgan Wallen,Whiskey Glasses,1,Songs/Morgan Wallen - Whiskey Glasses (Official Video).mp3,Songs/RepeatedPopularChorus/Morgan Wallen - Whiskey Glasses (Official Video).wav
Luke Combs,Beer Never Broke My Heart,1,Songs/Luke Combs - Beer Never Broke My Heart (Official Video).mp3,Songs/RepeatedPopularChorus/Luke Combs - Beer Never Broke My Heart (Official Video).wav
Billie Eilish,When The Party's Over,1,Songs/Billie Eilish - when the party's over.mp3,Songs/RepeatedPopularChorus/Billie Eilish - when the party's over.wav
Ariana Grande,Breathin,1,Songs/Ariana Grande - breathin.mp3,Songs/RepeatedPopularChorus/Ariana Grande - breathin.wav
Billie Eilish,Bury A Friend,1,Songs/Billie Eilish - bury a friend.mp3,Songs/RepeatedPopularChorus/Billie Eilish - bury a friend.wav
Lil Baby,Close Friends,1,"Songs/Lil Baby, Gunna - Close Friends.mp3","Songs/RepeatedPopularChorus/Lil Baby, Gunna - Close Friends.wav"
P!nk,Walk Me Home,1,Songs/P!NK - Walk Me Home (Official Video).mp3,Songs/RepeatedPopularChorus/P!NK - Walk Me Home (Official Video).wav
Juice WRLD,Robbery,1,Songs/Juice WRLD - Robbery (Directed by Cole Bennett).mp3,Songs/RepeatedPopularChorus/Juice WRLD - Robbery (Directed by Cole Bennett).wav
Drake,God's Plan,1,Songs/Drake - God's Plan.mp3,Songs/RepeatedPopularChorus/Drake - God's Plan.wav
Ed Sheeran,Perfect,1,Songs/Ed Sheeran - Perfect (Official Music Video).mp3,Songs/RepeatedPopularChorus/Ed Sheeran - Perfect (Official Music Video).wav
Drake,In My Feelings,1,Songs/Drake - In My Feelings.mp3,Songs/RepeatedPopularChorus/Drake - In My Feelings.wav
Drake,Nice For What,1,Songs/Drake - Nice For What.mp3,Songs/RepeatedPopularChorus/Drake - Nice For What.wav
XXXTENTACION,Sad!,1,Songs/XXXTENTACION - SAD!.mp3,Songs/RepeatedPopularChorus/XXXTENTACION - SAD!.wav
Camila Cabello,Never Be The Same,1,Songs/Camila Cabello - Never Be the Same.mp3,Songs/RepeatedPopularChorus/Camila Cabello - Never Be the Same.wav
Ariana Grande,No Tears Left To Cry,1,Songs/Ariana Grande - no tears left to cry (Official Video).mp3,Songs/RepeatedPopularChorus/Ariana Grande - no tears left to cry (Official Video).wav
Imagine Dragons,Thunder,1,Songs/Imagine Dragons - Thunder.mp3,Songs/RepeatedPopularChorus/Imagine Dragons - Thunder.wav
Taylor Swift,Delicate,1,Songs/Taylor Swift - Delicate.mp3,Songs/RepeatedPopularChorus/Taylor Swift - Delicate.wav
Halsey,Bad At Love,1,Songs/Halsey - Bad At Love.mp3,Songs/RepeatedPopularChorus/Halsey - Bad At Love.wav
Imagine Dragons,Whatever It Takes,1,Songs/Imagine Dragons - Whatever It Takes.mp3,Songs/RepeatedPopularChorus/Imagine Dragons - Whatever It Takes.wav
Post Malone,I Fall Apart,1,Songs/Post Malone – I Fall Apart (Lyrics) 🎵.mp3,Songs/RepeatedPopularChorus/Post Malone – I Fall Apart (Lyrics) 🎵.wav
Shawn Mendes,In My Blood,1,Songs/Shawn Mendes - In My Blood.mp3,Songs/RepeatedPopularChorus/Shawn Mendes - In My Blood.wav
Sam Smith,Too Good At Goodbyes,1,Songs/Sam Smith - Too Good At Goodbyes (Official Video).mp3,Songs/RepeatedPopularChorus/Sam Smith - Too Good At Goodbyes (Official Video).wav
Drake,Nonstop,1,Songs/Drake - Nonstop.mp3,Songs/RepeatedPopularChorus/Drake - Nonstop.wav
Cardi B,Bodak Yellow (Money Moves),1,Songs/Cardi B - Bodak Yellow [OFFICIAL MUSIC VIDEO].mp3,Songs/RepeatedPopularChorus/Cardi B - Bodak Yellow [OFFICIAL MUSIC VIDEO].wav
Maroon 5,Wait,1,Songs/Maroon 5 - Wait (Official Music Video).mp3,Songs/RepeatedPopularChorus/Maroon 5 - Wait (Official Music Video).wav
Cardi B,Be Careful,1,Songs/Cardi B - Be Careful [Official Video].mp3,Songs/RepeatedPopularChorus/Cardi B - Be Careful [Official Video].wav
Ariana Grande,God Is A Woman,1,Songs/Ariana Grande - God is a woman (Official Video).mp3,Songs/RepeatedPopularChorus/Ariana Grande - God is a woman (Official Video).wav
Imagine Dragons,Natural,1,Songs/Imagine Dragons - Natural.mp3,Songs/RepeatedPopularChorus/Imagine Dragons - Natural.wav
Ed Sheeran,Shape Of You,1,Songs/Ed Sheeran - Shape of You (Official Music Video).mp3,Songs/RepeatedPopularChorus/Ed Sheeran - Shape of You (Official Music Video).wav
The Weeknd,Call Out My Name,1,Songs/The Weeknd - Call Out My Name (Official Video).mp3,Songs/RepeatedPopularChorus/The Weeknd - Call Out My Name (Official Video).wav
Drake,I'm Upset,1,Songs/Drake - I'm Upset.mp3,Songs/RepeatedPopularChorus/Drake - I'm Upset.wav
XXXTENTACION,Moonlight,1,Songs/XXXTENTACION - MOONLIGHT (OFFICIAL MUSIC VIDEO).mp3,Songs/RepeatedPopularChorus/XXXTENTACION - MOONLIGHT (OFFICIAL MUSIC VIDEO).wav
XXXTENTACION,Changes,1,Songs/XXXTENTACION - changes.mp3,Songs/RepeatedPopularChorus/XXXTENTACION - changes.wav
Luke Combs,One Number Away,1,Songs/Luke Combs - One Number Away.mp3,Songs/RepeatedPopularChorus/Luke Combs - One Number Away.wav
Imagine Dragons,Believer,1,Songs/Imagine Dragons - Believer (Lyrics).mp3,Songs/RepeatedPopularChorus/Imagine Dragons - Believer (Lyrics).wav
Bruno Mars,Thats What I Like,1,Songs/Bruno Mars - That’s What I Like (Official Music Video).mp3,Songs/RepeatedPopularChorus/Bruno Mars - That’s What I Like (Official Music Video).wav
Kendrick Lamar,Humble.,1,Songs/Kendrick Lamar - HUMBLE..mp3,Songs/RepeatedPopularChorus/Kendrick Lamar - HUMBLE.wav
Future,Mask Off,1,Songs/Future - Mask Off (Official Music Video).mp3,Songs/RepeatedPopularChorus/Future - Mask Off (Official Music Video).wav
Bruno Mars,24K Magic,1,Songs/Bruno Mars - 24K Magic (Official Music Video).mp3,Songs/RepeatedPopularChorus/Bruno Mars - 24K Magic (Official Music Video).wav
Shawn Mendes,There's Nothing Holdin' Me Back,1,Songs/Shawn Mendes - There's Nothing Holdin' Me Back.mp3,Songs/RepeatedPopularChorus/Shawn Mendes - There's Nothing Holdin' Me Back.wav
Rihanna,Love On The Brain,1,Songs/Rihanna - Love On The Brain.mp3,Songs/RepeatedPopularChorus/Rihanna - Love On The Brain.wav
Drake,Fake Love,1,Songs/BTS FAKE LOVE Official MV.mp3,Songs/RepeatedPopularChorus/BTS FAKE LOVE Official MV.wav
Taylor Swift,Look What You Made Me Do,1,Songs/Taylor Swift - Look What You Made Me Do.mp3,Songs/RepeatedPopularChorus/Taylor Swift - Look What You Made Me Do.wav
Ed Sheeran,Castle On The Hill,1,Songs/Ed Sheeran - Castle On The Hill [Official Music Video].mp3,Songs/RepeatedPopularChorus/Ed Sheeran - Castle On The Hill [Official Music Video].wav
The Chainsmokers,Paris,1,Songs/The Chainsmokers - Paris (Lyric).mp3,Songs/RepeatedPopularChorus/The Chainsmokers - Paris (Lyric).wav
Shawn Mendes,Mercy,1,Songs/Mercy - Shawn Mendes (Lyrics).mp3,Songs/RepeatedPopularChorus/Mercy - Shawn Mendes (Lyrics).wav
Halsey,Now Or Never,1,Songs/Halsey - Now Or Never (Audio).mp3,Songs/RepeatedPopularChorus/Halsey - Now Or Never (Audio).wav
Kendrick Lamar,DNA.,1,Songs/BTS DNA Official MV.mp3,Songs/RepeatedPopularChorus/BTS DNA Official MV.wav
Drake,Passionfruit,1,Songs/Drake - Passionfruit.mp3,Songs/RepeatedPopularChorus/Drake - Passionfruit.wav
Travis Scott,Goosebumps,1,Songs/HVME - GOOSEBUMPS (Official Video).mp3,Songs/RepeatedPopularChorus/HVME - GOOSEBUMPS (Official Video).wav
Luke Combs,Hurricane,1,Songs/Kanye West - Hurricane (Audio).mp3,Songs/RepeatedPopularChorus/Kanye West - Hurricane (Audio).wav
P!nk,What About Us,1,Songs/P!NK - What About Us (Official Video).mp3,Songs/RepeatedPopularChorus/P!NK - What About Us (Official Video).wav
Harry Styles,Sign Of The Times,1,Songs/Harry Styles - Sign of the Times (Official Video).mp3,Songs/RepeatedPopularChorus/Harry Styles - Sign of the Times (Official Video).wav
Adele,Water Under The Bridge,1,Songs/Water Under the Bridge.mp3,Songs/RepeatedPopularChorus/Water Under the Bridge.wav
Miley Cyrus,Malibu,1,Songs/Miley Cyrus - Malibu (Official Video).mp3,Songs/RepeatedPopularChorus/Miley Cyrus - Malibu (Official Video).wav
Shawn Mendes,Treat You Better,1,Songs/Shawn Mendes - Treat You Better.mp3,Songs/RepeatedPopularChorus/Shawn Mendes - Treat You Better.wav
Justin Bieber,Love Yourself,1,Songs/Justin Bieber - Love Yourself (Official Music Video).mp3,Songs/RepeatedPopularChorus/Justin Bieber - Love Yourself (Official Music Video).wav
Justin Bieber,Sorry,1,Songs/Halsey - Sorry.mp3,Songs/RepeatedPopularChorus/Halsey - Sorry.wav
twenty one pilots,Stressed Out,1,Songs/twenty one pilots - Stressed Out [OFFICIAL VIDEO].mp3,Songs/RepeatedPopularChorus/twenty one pilots - Stressed Out [OFFICIAL VIDEO].wav
Adele,Hello,1,Songs/Adele - Hello.mp3,Songs/RepeatedPopularChorus/Adele - Hello.wav
Rihanna,Needed Me,1,Songs/Rihanna - Needed Me.mp3,Songs/RepeatedPopularChorus/Rihanna - Needed Me.wav
twenty one pilots,Ride,1,Songs/twenty one pilots - Ride (Official Video).mp3,Songs/RepeatedPopularChorus/twenty one pilots - Ride (Official Video).wav
Shawn Mendes,Stitches,1,Songs/Shawn Mendes - Stitches (Official Video).mp3,Songs/RepeatedPopularChorus/Shawn Mendes - Stitches (Official Video).wav
Drake,Hotline Bling,1,Songs/Drake - Hotline Bling.mp3,Songs/RepeatedPopularChorus/Drake - Hotline Bling.wav
Adele,Send My Love (To Your New Lover),1,Songs/Adele - Send My Love (To Your New Lover).mp3,Songs/RepeatedPopularChorus/Adele - Send My Love (To Your New Lover).wav
Justin Bieber,What Do You Mean?,1,Songs/Justin Bieber - What Do You Mean (Official Music Video).mp3,Songs/RepeatedPopularChorus/Justin Bieber - What Do You Mean (Official Music Video).wav
The Weeknd,The Hills,1,Songs/The Weeknd - The Hills (Official Video).mp3,Songs/RepeatedPopularChorus/The Weeknd - The Hills (Official Video).wav
P!nk,Just Like Fire,1,Songs/P!nk - Just Like Fire (From'Alice Through The Looking Glass' - Official Video).mp3,Songs/RepeatedPopularChorus/P!nk - Just Like Fire (From'Alice Through The Looking Glass' - Official Video).wav
Ariana Grande,Dangerous Woman,1,Songs/Ariana Grande - Dangerous Woman.mp3,Songs/RepeatedPopularChorus/Ariana Grande - Dangerous Woman.wav
Drake,Controlla,1,Songs/Drake - Controlla.mp3,Songs/RepeatedPopularChorus/Drake - Controlla.wav
Meghan Trainor,No,1,Songs/Meghan Trainor - NO.mp3,Songs/RepeatedPopularChorus/Meghan Trainor - NO.wav
Ariana Grande,Into You,1,Songs/Ariana Grande - Into You (Official Video).mp3,Songs/RepeatedPopularChorus/Ariana Grande - Into You (Official Video).wav
The Weeknd,In The Night,1,Songs/The Weeknd - In The Night (Official Audio).mp3,Songs/RepeatedPopularChorus/The Weeknd - In The Night (Official Audio).wav
Meghan Trainor,Me Too,1,Songs/Meghan Trainor - Me Too.mp3,Songs/RepeatedPopularChorus/Meghan Trainor - Me Too.wav
Post Malone,White Iverson,1,Songs/Post Malone - White Iverson.mp3,Songs/RepeatedPopularChorus/Post Malone - White Iverson.wav
The Weeknd,Can't Feel My Face,1,Songs/The Weeknd - Can't Feel My Face (Official Video).mp3,Songs/RepeatedPopularChorus/The Weeknd - Can't Feel My Face (Official Video).wav
Coldplay,Hymn For The Weekend,1,Songs/Coldplay - Hymn For The Weekend (Official Video).mp3,Songs/RepeatedPopularChorus/Coldplay - Hymn For The Weekend (Official Video).wav
Travis Scott,Antidote,1,Songs/Travis Scott - Antidote.mp3,Songs/RepeatedPopularChorus/Travis Scott - Antidote.wav
Taylor Swift,Wildest Dreams,1,Songs/Taylor Swift - Wildest Dreams.mp3,Songs/RepeatedPopularChorus/Taylor Swift - Wildest Dreams.wav
Adele,When We Were Young,1,Songs/Adele - When We Were Young (Live at The Church Studios).mp3,Songs/RepeatedPopularChorus/Adele - When We Were Young (Live at The Church Studios).wav
Chris Brown,Back To Sleep,1,Songs/Chris Brown - Back To Sleep (Official Video).mp3,Songs/RepeatedPopularChorus/Chris Brown - Back To Sleep (Official Video).wav
Coldplay,Adventure Of A Lifetime,1,Songs/Coldplay - Adventure Of A Lifetime (Official Video).mp3,Songs/RepeatedPopularChorus/Coldplay - Adventure Of A Lifetime (Official Video).wav
Future,Wicked,1,Songs/Future - Wicked (Official Music Video).mp3,Songs/RepeatedPopularChorus/Future - Wicked (Official Music Video).wav
Ed Sheeran,Thinking Out Loud,1,Songs/Ed Sheeran - Thinking Out Loud (Official Music Video).mp3,Songs/RepeatedPopularChorus/Ed Sheeran - Thinking Out Loud (Official Music Video).wav
Fetty Wap,Trap Queen,1,Songs/Fetty Wap  - Trap Queen (Official Video) Prod. By Tony Fadd.mp3,Songs/RepeatedPopularChorus/Fetty Wap  - Trap Queen (Official Video) Prod.wav
Maroon 5,Sugar,1,Songs/Maroon 5 - Sugar (Official Music Video).mp3,Songs/RepeatedPopularChorus/Maroon 5 - Sugar (Official Music Video).wav
Taylor Swift,Blank Space,1,Songs/Taylor Swift - Blank Space.mp3,Songs/RepeatedPopularChorus/Taylor Swift - Blank Space.wav
The Weeknd,Earned It (Fifty Shades Of Grey),1,Songs/The Weeknd - Earned It (from Fifty Shades Of Grey) (Official Video - Explicit).mp3,Songs/RepeatedPopularChorus/The Weeknd - Earned It (from Fifty Shades Of Grey) (Official Video - Explicit).wav
Taylor Swift,Shake It Off,1,Songs/Taylor Swift - Shake It Off.mp3,Songs/RepeatedPopularChorus/Taylor Swift - Shake It Off.wav
Meghan Trainor,Lips Are Movin,1,Songs/Meghan Trainor - Lips Are Movin (Official Music Video).mp3,Songs/RepeatedPopularChorus/Meghan Trainor - Lips Are Movin (Official Music Video).wav
Sam Smith,I'm Not The Only One,1,Songs/Sam Smith - I'm Not The Only One (Official Video).mp3,Songs/RepeatedPopularChorus/Sam Smith - I'm Not The Only One (Official Video).wav
Meghan Trainor,All About That Bass,1,Songs/Meghan Trainor - All About That Bass.mp3,Songs/RepeatedPopularChorus/Meghan Trainor - All About That Bass.wav
Taylor Swift,Style,1,Songs/Taylor Swift - Style.mp3,Songs/RepeatedPopularChorus/Taylor Swift - Style.wav
Ed Sheeran,Photograph,1,Songs/Ed Sheeran - Photograph (Official Music Video).mp3,Songs/RepeatedPopularChorus/Ed Sheeran - Photograph (Official Music Video).wav
Maroon 5,Animals,1,Songs/Maroon 5 - Animals (Official Music Video).mp3,Songs/RepeatedPopularChorus/Maroon 5 - Animals (Official Music Video).wav
Rihanna,B**** Better Have My Money,1,Songs/Rihanna - Bitch Better Have My Money (Explicit Audio).mp3,Songs/RepeatedPopularChorus/Rihanna - Bitch Better Have My Money (Explicit Audio).wav
Sam Smith,Stay With Me,1,Songs/Sam Smith - Stay With Me (Official Video).mp3,Songs/RepeatedPopularChorus/Sam Smith - Stay With Me (Official Video).wav
Beyonce,7/11,1,Songs/Beyoncé - 7_11.mp3,Songs/RepeatedPopularChorus/Beyoncé - 7_11.wav
One Direction,Drag Me Down,1,Songs/One Direction - Drag Me Down (Official Video).mp3,Songs/RepeatedPopularChorus/One Direction - Drag Me Down (Official Video).wav
Ariana Grande,One Last Time,1,Songs/Ariana Grande - One Last Time (Lyric Video).mp3,Songs/RepeatedPopularChorus/Ariana Grande - One Last Time (Lyric Video).wav
Meghan Trainor,Dear Future Husband,1,Songs/Meghan Trainor - Dear Future Husband (Official Video).mp3,Songs/RepeatedPopularChorus/Meghan Trainor - Dear Future Husband (Official Video).wav
Ed Sheeran,Don't,1,Songs/Ed Sheeran - Don't [Official Audio].mp3,Songs/RepeatedPopularChorus/Ed Sheeran - Don't [Official Audio].wav
One Direction,Night Changes,1,Songs/One Direction - Night Changes.mp3,Songs/RepeatedPopularChorus/One Direction - Night Changes.wav
Drake,Back To Back,1,Songs/Drake - Back to Back (Lyrics).mp3,Songs/RepeatedPopularChorus/Drake - Back to Back (Lyrics).wav
Pharrell Williams,Happy,1,Songs/Pharrell Williams - Happy (Video).mp3,Songs/RepeatedPopularChorus/Pharrell Williams - Happy (Video).wav
Imagine Dragons,Demons,1,Songs/Imagine Dragons - Demons (Official Video).mp3,Songs/RepeatedPopularChorus/Imagine Dragons - Demons (Official Video).wav
One Direction,Story Of My Life,1,Songs/One Direction - Story of My Life.mp3,Songs/RepeatedPopularChorus/One Direction - Story of My Life.wav
Maroon 5,Maps,1,Songs/Maroon 5 - Maps (Lyric Video).mp3,Songs/RepeatedPopularChorus/Maroon 5 - Maps (Lyric Video).wav
Nicki Minaj,Anaconda,1,Songs/Nicki Minaj - Anaconda.mp3,Songs/RepeatedPopularChorus/Nicki Minaj - Anaconda.wav
Miley Cyrus,Wrecking Ball,1,Songs/Miley Cyrus - Wrecking Ball (Official Video).mp3,Songs/RepeatedPopularChorus/Miley Cyrus - Wrecking Ball (Official Video).wav
Justin Timberlake,Not A Bad Thing,1,Songs/Justin Timberlake - Not a Bad Thing (Official Audio).mp3,Songs/RepeatedPopularChorus/Justin Timberlake - Not a Bad Thing (Official Audio).wav
